acc_code,incident_datetime,report_datetime,province_th,province_en,agency,route,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,latitude,longitude,road_description,slope_description
6143798,2022-04-18T11:28:00Z,2022-04-23T10:33:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงรามอินทรา - บางพลี,private/passenger car,speeding,rear-end collision,2,0,0,clear,13.81437124,100.6771794,straight road,no slope
7414814,2022-04-18T13:00:00Z,2022-11-29T13:50:00Z,สมุทรปราการ,Samut Prakan,department of highways,บางตำหรุ - คลองด่าน,private/passenger car,cutting in closely by people/vehicles/animals,rear-end collision,2,0,3,clear,13.50680859,100.7299277,straight road,no slope
6143801,2022-04-18T15:05:00Z,2022-04-23T11:23:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,6-wheel truck,speeding,rear-end collision,2,0,0,clear,13.73187342,100.7107928,straight road,no slope
6943060,2022-04-18T16:45:00Z,2022-09-20T08:32:00Z,กรุงเทพมหานคร,Bangkok,department of highways,รัชดาภิเษก - รามอินทรา,private/passenger car,speeding,rear-end collision,7,0,0,rainy,13.81909078,100.6802854,other,other
7565195,2022-04-18T17:50:00Z,2023-01-20T09:19:00Z,นนทบุรี,Nonthaburi,department of highways,คลองมหาสวัสดิ์ - คลองบางไผ่,private/passenger car,speeding,rollover/fallen on straight road,1,0,1,clear,13.87344965,100.4099965,straight road,no slope
6143803,2022-04-18T18:12:00Z,2022-04-23T12:00:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,private/passenger car,speeding,rear-end collision,2,0,0,rainy,13.73200109,100.7099265,straight road,no slope
6679961,2022-04-18T19:10:00Z,2022-08-08T09:28:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rear-end collision,3,0,0,clear,13.7293799,100.7326126,straight road,no slope
6241402,2022-04-18T19:30:00Z,2022-05-23T09:00:00Z,นครปฐม,Nakhon Pathom,department of highways,อ้อมน้อย - ศาลายา,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,rainy,13.73402038,100.2995324,straight road,no slope
7561540,2022-04-18T19:45:00Z,2023-01-17T10:28:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางบอน - โรงพยาบาลบางปะกอก 8,4-wheel pickup truck,speeding,rear-end collision,2,0,1,rainy,13.64713367,100.3827023,straight road,no slope
6680099,2022-04-18T19:55:00Z,2022-08-08T10:02:00Z,ปทุมธานี,Pathum Thani,department of highways,บางปะอิน - แขวงรามอินทรา,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,rainy,14.05183032,100.6980228,straight road,no slope
6118940,2022-04-18T20:00:00Z,2022-04-18T21:03:00Z,สมุทรปราการ,Samut Prakan,department of highways,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,large passenger vehicle,speeding,rear-end collision,2,0,2,clear,13.622295190000001,100.7352438,straight road,no slope
7561542,2022-04-18T20:20:00Z,2023-01-17T10:26:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางบอน - โรงพยาบาลบางปะกอก 8,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,2,rainy,13.64731612,100.3828391,straight road,no slope
6531290,2022-04-18T20:30:00Z,2022-07-11T08:54:00Z,นครปฐม,Nakhon Pathom,department of highways,พระประโทน - สระกระเทียม,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,clear,13.79806572,99.97282057,straight road,no slope
6147888,2022-04-18T21:00:00Z,2022-05-01T15:43:00Z,ปทุมธานี,Pathum Thani,department of highways,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,4-wheel pickup truck,speeding,rear-end collision,2,0,0,rainy,14.04648325,100.6166178,straight road,no slope
6918789,2022-04-18T21:51:00Z,2022-09-16T14:39:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางแค - คลองมหาสวัสดิ์,4-wheel pickup truck,speeding,rear-end collision,2,0,1,rainy,13.69360789,100.4075798,straight road,no slope
7561769,2022-04-18T22:30:00Z,2023-01-17T14:25:00Z,ปทุมธานี,Pathum Thani,department of highways,วัดนาบุญ - คลอง 14,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,3,rainy,14.05084678,100.8179659,straight road,no slope
6143799,2022-04-19T00:07:00Z,2022-04-23T10:40:00Z,ปทุมธานี,Pathum Thani,department of highways,บางปะอิน - แขวงรามอินทรา,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,clear,13.9455812,100.7116833,straight road,no slope
7554568,2022-04-19T04:00:00Z,2023-01-09T13:29:00Z,นนทบุรี,Nonthaburi,department of highways,บางบัวทอง - ไทรน้อย,motorcycle,speeding,rollover/fallen on straight road,1,0,0,clear,13.96073365,100.3568244,straight road,no slope
6680040,2022-04-19T09:52:00Z,2022-08-08T09:47:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงรามอินทรา - บางพลี,4-wheel pickup truck,speeding,rear-end collision,2,0,0,clear,13.76831433,100.6925297,straight road,no slope
7565203,2022-04-19T10:00:00Z,2023-01-20T09:21:00Z,ปทุมธานี,Pathum Thani,department of highways,ต่างระดับลาดหลุมแก้ว - แยกนพวงศ์,other,speeding,rollover/fallen on straight road,1,0,0,clear,14.03067811,100.3858083,straight road,no slope
6238881,2022-04-19T11:15:00Z,2022-05-20T10:39:00Z,ปทุมธานี,Pathum Thani,department of highways,ลำลูกกา - คลอง 16,4-wheel pickup truck,speeding,head-on collision (not overtaking),2,0,1,clear,13.95383305,100.8379617,straight road,no slope
6680073,2022-04-19T12:29:00Z,2022-08-08T09:57:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางปะอิน - แขวงรามอินทรา,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.90782462,100.6987524,straight road,no slope
7564958,2022-04-19T12:40:00Z,2023-01-20T06:30:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางนา - ทางเข้าท่าอากาศยานสุวรรณภูมิ,private/passenger car,speeding,rear-end collision,2,0,1,clear,13.66838467,100.6334017,other,other
7567907,2022-04-19T15:40:00Z,2023-01-24T07:25:00Z,นครปฐม,Nakhon Pathom,department of highways,ดอนตูม - ลำลูกบัว,4-wheel pickup truck,speeding,collision with obstruction (on road surface),2,0,0,rainy,13.96573132,100.0863612,other,other
6143800,2022-04-19T19:08:00Z,2022-04-23T10:53:00Z,ปทุมธานี,Pathum Thani,department of highways,บางปะอิน - แขวงรามอินทรา,private/passenger car,speeding,rear-end collision,2,0,1,clear,14.02099516,100.6994203,straight road,no slope
7008863,2022-04-20T07:00:00Z,2022-09-30T14:16:00Z,สมุทรปราการ,Samut Prakan,department of highways,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,large passenger vehicle,speeding,rear-end collision,3,0,0,clear,13.6076213,100.7691255,straight road,no slope
7564188,2022-04-20T07:40:00Z,2023-01-19T11:07:00Z,สมุทรสาคร,Samut Sakhon,department of highways,แสมดำ - สะพานข้ามแม่น้ำท่าจีนฝั่งตะวันตก,4-wheel pickup truck,vehicle equipment failure,rollover/fallen on straight road,1,0,0,clear,13.56176377,100.2757922,straight road,no slope
6679979,2022-04-20T08:35:00Z,2022-08-08T09:30:00Z,สมุทรปราการ,Samut Prakan,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.66116655,100.8577537,straight road,no slope
6143806,2022-04-20T10:58:00Z,2022-04-23T12:33:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,large truck with trailer,speeding,rear-end collision,2,0,0,clear,13.73191511,100.710428,straight road,no slope
6679657,2022-04-20T11:00:00Z,2022-08-08T08:55:00Z,สมุทรปราการ,Samut Prakan,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.70173837,100.8241939,straight road,no slope
6138821,2022-04-20T12:39:00Z,2022-04-22T08:40:00Z,กรุงเทพมหานคร,Bangkok,expressway authority of thailand,รามอินทรา-อาจณรงค์,other,other,rear-end collision,3,0,0,clear,13.750301,100.603154,straight road,other
6143810,2022-04-21T04:10:00Z,2022-04-23T13:29:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางปะอิน - แขวงรามอินทรา,large truck with trailer,speeding,rear-end collision,2,0,0,clear,13.85933054,100.6761628,straight road,no slope
